CryoSleep,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Travelling_Solo,Group_Size,Cabin_Deck,Cabin_Side,Cabin_Region1,Cabin_Region2,Cabin_Region3,Cabin_Region4,Cabin_Region5,Cabin_Region6,Age Group,Total Expenditure,No Spending,Expenditure Category,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e
0,54.0,0,0.0,6.327936783729195,0.0,9.63161321028986,7.937374696163295,1,1.0,2,1,1,0,0,0,0,0,5,9.830755556370029,0,0,False,True,False,True,False,False
0,20.0,0,0.0,3.044522437723423,0.6931471805599453,6.546785410760524,0.0,1,1.0,5,0,0,0,0,0,1,0,2,6.576469569048224,0,2,True,False,False,False,False,True
0,43.0,0,7.507690077819904,0.0,3.871201010907891,3.4011973816621555,0.0,0,3.0,5,1,1,0,0,0,0,0,4,7.5485559791698735,0,0,False,False,True,False,False,True
0,24.0,0,5.225746673713202,0.0,6.1675164908883415,7.501634457883413,3.9889840465642745,1,1.0,5,1,0,0,1,0,0,0,2,7.83399634170946,0,0,True,False,False,False,False,True
1,25.0,0,0.0,0.0,0.0,0.0,0.0,0,2.0,2,1,0,1,0,0,0,0,2,0.0,1,3,False,True,False,True,False,False
1,48.0,0,0.0,0.0,0.0,0.0,0.0,0,3.0,5,0,1,0,0,0,0,0,4,0.0,1,3,False,False,True,False,False,True
1,34.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,4,0,1,0,0,0,0,0,4,0.0,1,3,False,True,False,True,False,False
1,18.0,0,0.0,0.0,0.0,0.0,0.0,0,6.0,1,1,1,0,0,0,0,0,1,0.0,1,3,False,True,False,True,False,False
0,35.0,0,8.435766192720509,0.0,6.831953565565855,5.948034989180646,0.0,1,1.0,5,1,0,0,0,1,0,0,4,8.685584842676693,0,0,False,False,True,False,False,True
0,24.0,0,5.1647859739235145,0.0,0.0,6.447305862541213,0.0,0,3.0,5,1,1,0,0,0,0,0,2,6.690842277418564,0,2,True,False,False,False,False,True
0,49.0,0,3.044522437723423,0.0,0.0,6.646390514847729,0.0,1,1.0,4,1,0,1,0,0,0,0,4,6.672032945461067,0,2,True,False,False,False,False,True
1,17.0,0,0.0,0.0,0.0,0.0,0.0,0,2.0,5,0,0,0,0,1,0,0,1,0.0,1,3,False,False,True,True,False,False
1,20.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,6,1,1,0,0,0,0,0,2,0.0,1,3,True,False,False,False,True,False
1,44.0,0,0.0,0.0,0.0,0.0,0.0,0,4.0,3,0,1,0,0,0,0,0,4,0.0,1,3,False,True,False,False,False,True
1,2.0,0,0.0,0.0,0.0,0.0,0.0,0,6.0,6,1,0,0,1,0,0,0,0,0.0,1,3,True,False,False,False,False,True
0,51.0,0,5.030437921392435,4.02535169073515,3.258096538021482,4.31748811353631,5.66988092298052,1,1.0,5,0,0,0,0,0,1,0,5,6.39024066706535,0,1,True,False,False,False,False,True
1,61.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,6,0,0,0,0,0,0,1,5,0.0,1,3,True,False,False,False,True,False
0,19.0,0,3.4011973816621555,7.876258882303226,0.0,0.0,4.8283137373023015,1,1.0,5,1,0,0,0,0,0,1,2,7.932721027481948,0,0,True,False,False,False,False,True
0,28.0,0,0.6931471805599453,0.0,6.754604099487962,0.0,0.0,1,1.0,5,1,0,0,1,0,0,0,3,6.755768921984255,0,2,True,False,False,True,False,False
0,40.0,0,0.0,9.780641722537283,0.0,6.054439346269371,5.049856007249537,0,3.0,2,0,1,0,0,0,0,0,4,9.81290617430489,0,0,False,True,False,True,False,False
0,28.0,0,0.0,4.624972813284271,0.0,0.0,9.404590499635411,1,1.0,4,1,0,1,0,0,0,0,3,9.412872969386267,0,0,False,True,False,True,False,False
0,43.0,0,7.026426808699636,0.0,4.919980925828125,3.8918202981106265,0.0,1,1.0,5,0,1,0,0,0,0,0,4,7.177782416195197,0,2,False,False,True,False,False,True
0,33.0,0,7.711548979629146,8.765458531504226,0.0,3.1780538303479458,5.6131281063880705,0,3.0,1,0,1,0,0,0,0,0,4,9.098067129493398,0,0,False,True,False,False,False,True
1,41.0,0,0.0,0.0,0.0,0.0,0.0,0,2.0,2,1,0,1,0,0,0,0,4,0.0,1,3,False,True,False,False,False,True
0,6.0,0,0.0,0.0,0.0,0.0,0.0,0,3.0,4,1,0,1,0,0,0,0,0,0.0,1,3,True,False,False,False,False,True
0,26.0,0,0.0,6.620073206530356,3.044522437723423,0.0,0.0,1,1.0,6,1,0,0,0,0,1,0,3,6.646390514847729,0,2,True,False,False,False,True,False
0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,7.0,5,0,0,0,0,0,1,0,0,0.0,1,3,True,False,False,False,False,True
1,42.0,0,0.0,0.0,0.0,0.0,0.0,0,3.0,1,1,1,0,0,0,0,0,4,0.0,1,3,False,True,False,False,False,True
1,39.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,5,1,0,0,1,0,0,0,4,0.0,1,3,False,False,True,False,False,True
1,29.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,5,1,0,0,0,0,1,0,3,0.0,1,3,False,False,True,False,False,True
0,29.0,1,1.3862943611198906,7.52294091807237,0.0,8.040768994367578,7.410347097821024,0,3.0,2,0,1,0,0,0,0,0,3,8.796187635470453,0,0,False,True,False,False,True,False
0,33.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,2,0,1,0,0,0,0,0,4,0.0,1,3,False,True,False,False,False,True
0,15.0,0,0.0,6.5722825426940075,0.0,0.0,0.0,0,2.0,6,0,0,0,0,0,1,0,1,6.5722825426940075,0,1,True,False,False,True,False,False
0,16.0,0,6.230481447578482,0.0,0.0,0.0,0.0,1,1.0,5,1,1,0,0,0,0,0,1,6.230481447578482,0,1,True,False,False,False,False,True
0,31.0,0,4.941642422609304,8.2987883944492,2.6390573296152584,5.4510384535657,7.039660349862076,0,2.0,1,1,1,0,0,0,0,0,3,8.620291149419804,0,0,False,True,False,True,False,False
0,57.0,0,3.9318256327243257,7.4318919168078,0.0,0.0,4.912654885736052,0,2.0,6,1,1,0,0,0,0,0,5,7.535830462798367,0,0,True,False,False,False,False,True
0,40.0,0,1.3862943611198906,0.0,4.127134385045092,0.0,6.610696044717759,1,1.0,5,0,0,0,0,0,1,0,4,6.693323668269949,0,2,True,False,False,False,False,True
0,37.0,0,7.0431599159883405,1.6094379124341003,3.5553480614894135,0.0,0.0,0,4.0,3,0,1,0,0,0,0,0,4,7.075808863978387,0,2,False,False,True,False,False,True
0,41.0,0,5.480638923341991,0.6931471805599453,6.955592608396297,0.0,0.0,0,3.0,5,1,0,0,0,1,0,0,4,7.161622002939187,0,2,False,False,True,False,False,True
1,13.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,6,1,1,0,0,0,0,0,1,0.0,1,3,True,False,False,False,False,True
0,27.0,0,0.0,7.971776122880628,6.492239835020471,6.186208623900494,2.4849066497880004,0,2.0,4,0,0,1,0,0,0,0,3,8.307212626628308,0,0,False,True,False,False,False,True
1,22.0,0,0.0,0.0,0.0,0.0,0.0,0,5.0,1,1,1,0,0,0,0,0,2,0.0,1,3,False,True,False,True,False,False
0,25.0,0,7.201170883281678,0.0,2.1972245773362196,0.0,0.0,0,3.0,5,0,0,0,0,1,0,0,2,7.207118856207756,0,2,False,False,True,False,False,True
0,34.0,0,5.43372200355424,0.0,5.017279836814924,2.772588722239781,0.6931471805599453,1,1.0,6,0,0,0,0,1,0,0,4,5.978885764901122,0,1,True,False,False,False,False,True
0,31.0,0,3.8501476017100584,7.568379267836522,0.0,6.903747257584598,7.134890851565884,1,1.0,1,0,1,0,0,0,0,0,3,8.350193650720067,0,0,False,True,False,False,False,True
